Date,Product,Region,Sales,Cost,Profit,Customers
2024-01-01,Product A,North,50000,20000,30000,150
2024-01-02,Product B,South,45000,18000,27000,135
2024-01-03,Product C,East,60000,25000,35000,180
2024-01-04,Product A,West,55000,22000,33000,165
2024-01-05,Product B,North,48000,19000,29000,144
2024-01-06,Product C,South,52000,21000,31000,156
2024-01-07,Product A,East,58000,23000,35000,174
2024-01-08,Product B,West,51000,20000,31000,153
2024-01-09,Product C,North,62000,25000,37000,186
2024-01-10,Product A,South,54000,21000,33000,162
